
# Curve 0 of 1, 237 points
# Curve title: "Exp. 2"
# x y type
 54.8842 -0.00603846  o
 55.0715 -0.011712  o
 55.2584 -0.00830786  o
 55.4454 -0.00887521  o
 55.6324 -0.00717316  o
 55.8051 -0.000364939  o
 56.0061  0.000202412  o
 56.193  0.00190447  o
 56.3799  0.00530858  o
 56.5669  0.00644328  o
 56.7539  0.00587593  o
 56.9408  0.00871269  o
 57.1279  0.00833445  i
 57.3147  0.0132515  i
 57.5015  0.0177903  i
 57.6884  0.0194924  i
 57.8754  0.0200597  i
 58.0624  0.0223291  i
 58.2393  0.0236259  i
 58.4362  0.0268679  i
 58.6233  0.0245985  i
 58.8103  0.0251659  i
 58.9973  0.0268679  i
 59.1845  0.0228965  i
 59.3716  0.0211944  i
 59.5586  0.0200597  i
 59.7457  0.0200597  i
 59.9327  0.0206271  i
 60.1195  0.0245985  i
 60.2959  0.038215  i
 60.3516  0.0631784  i
 60.4442  0.0854943  i
 60.5052  0.114997  i
 60.5354  0.138636  i
 60.6279  0.162276  i
 60.725  0.186634  i
 60.9115  0.198889  i
 61.0462  0.220146  i
 61.0901  0.285202  i
 61.0678  0.260617  i
 61.0686  0.242462  i
 61.0237  0.199343  i
 61.1441  0.349772  i
 61.1117  0.327186  i
 61.1124  0.309031  i
 61.1794  0.383165  i
 61.2279  0.522355  i
 61.2211  0.498904  i
 61.1985  0.481506  i
 61.1993  0.46335  i
 61.2001  0.445195  i
 61.2008  0.42704  i
 61.2016  0.408885  i
 61.2696  0.638851  i
 61.2627  0.618616  i
 61.2401  0.601028  i
 61.2409  0.582873  i
 61.2416  0.564717  i
 61.2424  0.546562  i
 61.3128  0.72055  i
 61.306  0.698612  i
 61.2834  0.681213  i
 61.2841  0.663058  i
 61.3581  0.806571  i
 61.3258  0.781067  i
 61.3266  0.762912  i
 61.3274  0.744757  i
 61.3915  0.883947  i
 61.3692  0.858227  i
 61.37  0.840072  i
 61.3238  0.827968  i
 61.4416  0.913298  i
 61.4922  0.948247  i
 61.4129  0.927822  i
 61.5902  0.973967  i
 61.7148  0.97548  i
 61.7391  0.955055  i
 61.763  0.942573  i
 61.787  0.927822  i
 61.8032  0.913449  i
 61.8353  0.892647  i
 61.8596  0.871087  i
 61.9071  0.852365  i
 61.9313  0.83402  i
 61.9554  0.817189  i
 61.9915  0.793927  i
 61.9807  0.773503  i
 61.9969  0.75913  i
 62.0197  0.736284  i
 62.0864  0.708144  i
