
# Curve 0 of 1, 1200 points
# Curve title: "Re ε_M"
# x y type
 10.0158  2.37888  i
 10.043  2.38582  i
 10.0702  2.39288  i
 10.0974  2.40005  i
 10.1247  2.40735  i
 10.1519  2.41478  i
 10.1791  2.42233  i
 10.2063  2.43002  i
 10.2335  2.43784  i
 10.2607  2.4458  i
 10.2879  2.45391  i
 10.3151  2.46217  i
 10.3424  2.47058  i
 10.3696  2.47914  i
 10.3968  2.48787  i
 10.424  2.49677  i
 10.4512  2.50583  i
 10.4784  2.51508  i
 10.5056  2.5245  i
 10.5328  2.53412  i
 10.56  2.54393  i
 10.5873  2.55393  i
 10.6145  2.56415  i
 10.6417  2.57458  i
 10.6689  2.58523  i
 10.6961  2.59611  i
 10.7233  2.60722  i
 10.7505  2.61858  i
 10.7777  2.63019  i
 10.8049  2.64206  i
 10.8322  2.65421  i
 10.8594  2.66663  i
 10.8866  2.67934  i
 10.9138  2.69236  i
 10.941  2.70569  i
 10.9682  2.71935  i
 10.9954  2.73334  i
 11.0226  2.74768  i
 11.0498  2.76239  i
 11.0771  2.77747  i
 11.1043  2.79296  i
 11.1315  2.80885  i
 11.1587  2.82517  i
 11.1859  2.84194  i
 11.2131  2.85917  i
 11.2403  2.87689  i
 11.2675  2.89511  i
 11.2947  2.91387  i
 11.322  2.93318  i
 11.3492  2.95306  i
 11.3764  2.97356  i
 11.4036  2.99469  i
 11.4308  3.01648  i
 11.458  3.03897  i
 11.4852  3.0622  i
 11.5124  3.08619  i
 11.5397  3.11099  i
 11.5669  3.13663  i
 11.5941  3.16317  i
 11.6213  3.19064  i
 11.6485  3.2191  i
 11.6757  3.2486  i
 11.7029  3.2792  i
 11.7301  3.31095  i
 11.7573  3.34392  i
 11.7846  3.37817  i
 11.8118  3.41377  i
 11.839  3.4508  i
 11.8662  3.48934  i
 11.8934  3.52946  i
 11.9206  3.57125  i
 11.9478  3.6148  i
 11.975  3.66019  i
 12.0022  3.70752  i
 12.0295  3.75688  i
 12.0567  3.80835  i
 12.0839  3.862  i
 12.1111  3.91791  i
 12.1383  3.97612  i
 12.1655  4.03666  i
 12.1927  4.0995  i
 12.2199  4.16458  i
 12.2471  4.23174  i
 12.2744  4.30074  i
 12.3016  4.37118  i
 12.3288  4.44247  i
 12.356  4.51375  i
 12.3832  4.58383  i
 12.4104  4.65102  i
 12.4376  4.71306  i
 12.4648  4.76688  i
 12.492  4.80843  i
 12.5193  4.83246  i
 12.5465  4.83231  i
 12.5737  4.79985  i
 12.6009  4.72556  i
 12.6281  4.59909  i
 12.6553  4.41033  i
 12.6825  4.15132  i
 12.7097  3.81871  i
 12.737  3.41647  i
 12.7642  2.95776  i
 12.7914  2.46472  i
 12.8186  1.96565  i
 12.8458  1.49004  i
 12.873  1.06312  i
 12.9002  0.702021  i
 12.9274  0.414452  i
 12.9546  0.199883  i
 12.9819  0.051992  i
 13.0091 -0.0386657  i
 13.0363 -0.0824922  i
 13.0635 -0.0894311  i
 13.0907 -0.0682203  i
 13.1179 -0.0261249  i
 13.1451  0.0310441  i
 13.1723  0.0987685  i
 13.1995  0.173611  i
 13.2268  0.253003  i
 13.254  0.335057  i
 13.2812  0.418407  i
 13.3084  0.502081  i
 13.3356  0.585402  i
 13.3628  0.667914  i
 13.39  0.749313  i
 13.4172  0.829412  i
 13.4444  0.908096  i
 13.4717  0.985294  i
 13.4989  1.06096  i
 13.5261  1.13504  i
 13.5533  1.20746  i
 13.5805  1.27811  i
 13.6077  1.34679  i
 13.6349  1.41324  i
 13.6621  1.47705  i
 13.6894  1.53769  i
 13.7166  1.59447  i
 13.7438  1.64654  i
 13.771  1.69293  i
 13.7982  1.73257  i
 13.8254  1.7644  i
 13.8526  1.78748  i
 13.8798  1.80111  i
