
# Curve 0 of 1, 332 points
# Curve title: "Exp."
# x y type
 10.2003  3.06675  i
 10.3688  3.10559  i
 10.4698  3.12503  i
 10.5712  3.18789  i
 10.7737  3.27985  i
 10.9423  3.34763  i
 11.0099  3.39597  i
 11.1448  3.43476  i
 11.3135  3.51219  i
 11.4149  3.57023  i
 11.5496  3.59937  i
 11.6172  3.64771  i
 11.7858  3.6962  i
 11.9205  3.72051  i
 11.9994  3.77691  i
 12.1121  3.85426  i
 12.1913  3.95248  i
 12.2253  4.01525  i
 12.3275  4.1939  i
 12.2934  4.13114  i
 12.293  4.07324  i
 12.3966  4.45454  i
 12.3623  4.36282  i
 12.3619  4.30492  i
 12.3615  4.24702  i
 12.4763  4.62673  i
 12.431  4.5559  i
 12.4306  4.49801  i
 12.5338  4.82623  i
 12.5334  4.76833  i
 12.4993  4.71039  i
 12.6014  4.87457  i
 12.6346  4.80707  i
 12.6342  4.74918  i
 12.6338  4.69128  i
 12.6334  4.63338  i
 12.6329  4.57549  i
 12.6325  4.51759  i
 12.6321  4.45969  i
 12.6317  4.4018  i
 12.6313  4.3439  i
 12.6309  4.286  i
 12.6305  4.22811  i
 12.6301  4.17021  i
 12.6297  4.11231  i
 12.6293  4.05441  i
 12.6289  4.00617  i
 12.6949  3.81327  i
 12.6944  3.74573  i
 12.694  3.68783  i
 12.6936  3.62993  i
 12.6932  3.57204  i
 12.6928  3.51414  i
 12.6924  3.45624  i
 12.692  3.39835  i
 12.6915  3.34045  i
 12.6911  3.28255  i
 12.6907  3.22465  i
 12.6903  3.16676  i
 12.6899  3.10886  i
 12.6895  3.05096  i
 12.6891  2.99307  i
 12.6887  2.93517  i
 12.6883  2.87727  i
 12.6879  2.81938  i
 12.6875  2.76148  i
 12.6871  2.70358  i
 12.6867  2.64569  i
 12.6863  2.58779  i
 12.6858  2.52989  i
 12.6854  2.472  i
 12.685  2.4141  i
 12.6846  2.3562  i
 12.6842  2.2983  i
 12.6838  2.24041  i
 12.6834  2.18251  i
 12.683  2.12461  i
 12.6826  2.06672  i
 12.6822  2.00882  i
 12.6818  1.95092  i
 12.6814  1.89303  i
 12.681  1.83513  i
 12.6806  1.77723  i
 12.6802  1.71934  i
 12.7466  1.60364  i
 12.7461  1.52644  i
 12.7457  1.46854  i
 12.7453  1.41065  i
 12.7449  1.35275  i
 12.7444  1.29485  i
 12.744  1.23696  i
 12.7436  1.17906  i
 12.7432  1.12116  i
 12.7428  1.06327  i
 12.7424  1.00537  i
 12.742  0.947473  i
 12.7416  0.889576  i
 12.7412  0.831679  i
 12.7408  0.773783  i
 12.7404  0.715886  i
 12.74  0.657989  i
 12.7396  0.600092  i
 12.7392  0.542195  i
 12.7387  0.484298  i
 12.7383  0.426401  i
 12.7379  0.368505  i
 12.7375  0.310608  i
 12.7371  0.252711  i
 12.7367  0.194814  i
 12.7363  0.136917  i
 12.7358  0.0597213  i
 12.735 -0.0560724  i
