
# Curve 0 of 1, 258 points
# Curve title: "Exp."
# x y type
 3.08404  4.73587  i
 3.19017  5.25885  i
 3.16132  5.05547  i
 3.16154  4.91018  i
 3.16181  4.73584  i
 3.24738  5.98526  i
 3.24765  5.81092  i
 3.24792  5.63657  i
 3.24819  5.46223  i
 3.27547  6.68263  i
 3.305  6.45015  i
 3.30522  6.30486  i
 3.27628  6.15959  i
 3.33532  5.69464  i
 3.33555  5.54936  i
 3.33613  5.17161  i
 3.3364  4.99727  i
 3.33667  4.82292  i
 3.36614  4.61951  i
 3.36641  4.44516  i
 3.39598  4.18363  i
 3.48372  4.02377  i
 3.60058  3.89295  i
 3.71741  3.77667  i
 3.83423  3.67491  i
 3.95102  3.58768  i
 4.07753  3.50529  i
 4.17485  3.43744  i
 4.30128  3.39863  i
 4.41801  3.35499  i
 4.53473  3.31135  i
 4.65146  3.2677  i
 4.76816  3.23859  i
 4.88489  3.19494  i
 5.00157  3.18036  i
 5.11829  3.13671  i
 5.23495  3.13666  i
 5.35165  3.10754  i
 5.46833  3.09296  i
 5.58501  3.07837  i
 5.70167  3.07831  i
 5.81833  3.07825  i
 5.93499  3.0782  i
 6.05164  3.07814  i
 6.1683  3.07808  i
 6.28496  3.07802  i
 6.40162  3.07797  i
 6.51827  3.07791  i
 6.63493  3.07785  i
 6.75159  3.07779  i
 6.86825  3.07774  i
 6.98491  3.07768  i
 7.10156  3.07762  i
 7.21824  3.06304  i
 7.33495  3.03392  i
 7.45163  3.01933  i
 7.56831  3.00475  i
 7.68503  2.9611  i
 7.80171  2.94652  i
 7.91844  2.90287  i
 8.03518  2.8447  i
 8.15195  2.772  i
 8.2687  2.71383  i
 8.38552  2.61207  i
 8.50235  2.49578  i
 8.61919  2.3795  i
 8.70682  2.29228  i
 9.02816  1.94343  i
 9.14504  1.79809  i
 9.26186  1.69633  i
 9.37874  1.55099  i
 9.49558  1.4347  i
 9.61248  1.27483  i
 9.72932  1.15854  i
 9.84615  1.04225  i
 9.96303  0.896907  i
 10.0799  0.780619  i
 10.1871  0.577165  i
 10.2262  0.460916  i
 10.3035  0.73208  i
 10.4297  0.85309  i
 10.4878  1.04193  i
 10.575  1.18718  i
 10.7206  1.36145  i
 10.8373  1.33234  i
 10.9248  1.33229  i
 11.1293  1.09973  i
 11.2461  1.02703  i
 11.363  0.881688  i
 11.4796  0.88163  i
 11.5964  0.823458  i
 11.7131  0.779814  i
 11.8299  0.707113  i
 11.9466  0.648941  i
 12.0635  0.503596  i
 12.1803  0.387309  i
 12.268  0.285565  i
 12.3557  0.111177  i
 12.4726 -0.00510977  i
 12.5893 -0.0632821  i
 12.7061 -0.121454  i
 12.8227 -0.136041  i
 12.9394 -0.107041  i
 13.0559 -0.0489835  i
 13.1725 -0.00545484  i
 13.289  0.0816599  i
 13.4056  0.125189  i
 13.5222  0.168717  i
 13.6389  0.16866  i
 13.7555  0.168602  i
 13.8722  0.139487  i
 13.9889  0.110372  i
 14.1056  0.110315  i
 14.2223  0.110257  i
 14.3389  0.1102  i
 14.4556  0.0665561  i
 14.5723  0.0374412  i
 14.6891 -0.0207312  i
 14.8059 -0.12249  i
 14.9227 -0.224248  i
 15.098 -0.427736  i
 15.2148 -0.485909  i
 15.3315 -0.544081  i
 15.4482 -0.587725  i
 15.5649 -0.587782  i
 15.6815 -0.58784  i
 15.7982 -0.587897  i
 15.9148 -0.573426  i
 16.0314 -0.529897  i
 16.1481 -0.529955  i
 16.2647 -0.530012  i
 16.3814 -0.501012  i
 16.498 -0.472013  i
 16.6146 -0.47207  i
 16.7313 -0.472128  i
 16.8479 -0.428599  i
 16.9645 -0.414128  i
 17.0812 -0.414185  i
 17.1978 -0.399714  i
 17.3144 -0.370714  i
 17.4311 -0.356243  i
 17.5477 -0.356301  i
 17.6644 -0.356358  i
 17.781 -0.356416  i
 17.8977 -0.356473  i
 18.0143 -0.327473  i
 18.1309 -0.298473  i
 18.2476 -0.298531  i
 18.3642 -0.298588  i
 18.4809 -0.298646  i
 18.5975 -0.269646  i
 18.7142 -0.269703  i
 18.8308 -0.240703  i
 18.9474 -0.240761  i
 19.0641 -0.240818  i
 19.1807 -0.226347  i
 19.2973 -0.182819  i
 19.414 -0.182876  i
 19.5306 -0.182934  i
 19.6472 -0.153934  i
 19.7639 -0.124934  i
 19.8805 -0.124991  i
 19.9972 -0.125049  i
 20.1138 -0.125106  o
 20.2305 -0.125164  o
 20.3471 -0.125221  o
 20.4638 -0.125279  o
 20.5513 -0.125322  o
 20.668 -0.12538  o
 20.8137 -0.0673366  o
 20.9303 -0.0673941  o
 21.047 -0.0674517  o
 21.1637 -0.0675092  o
 21.2803 -0.053038  o
 21.3969 -0.0385668  o
 21.5136 -0.0386243  o
 21.6011 -0.0677248  o
 21.7469 -0.00968189  o
 21.8635 -0.0097394  o
 21.9802 -0.00979691  o
 22.0968 -0.00985443  o
 22.2135 -0.00991194  o
 22.3301 -0.00996945  o
 22.4468 -0.010027  o
 22.5635 -0.0100845  o
 22.6801 -0.010142  o
 22.7968 -0.0101995  o
 22.9135 -0.0393144  o
 23.0301 -0.0393719  o
 23.1468 -0.0394294  o
 23.2635 -0.039487  o
 23.3801 -0.0395445  o
 23.4968 -0.039602  o
 23.6134 -0.0396595  o
 23.7301 -0.039717  o
 23.8467 -0.0397745  o
 23.9634 -0.039832  o
 24.0801 -0.0398895  o
 24.1967 -0.0254183  o
 24.3133 -0.0109471  o
 24.43 -0.0110046  o
 24.5466 -0.0110622  o
 24.6633 -0.0111197  o
 24.78 -0.0111772  o
 24.8966  0.00329402  o
 25.0132  0.0177652  o
 25.1299  0.0177077  o
 25.2465  0.0467076  o
 25.3632  0.0466501  o
 25.6547  0.104621  o
 25.7714  0.104564  o
 25.888  0.104506  o
 26.0047  0.104449  o
 26.1213  0.104391  o
 26.238  0.104334  o
 26.3546  0.118805  o
 26.4713  0.147805  o
 26.5879  0.162276  o
 26.7045  0.162218  o
 26.8212  0.162161  o
 26.9379  0.162103  o
 27.0545  0.162046  o
 27.1712  0.161988  o
 27.2878  0.190988  o
 27.4045  0.190931  o
 27.5211  0.205402  o
 27.6377  0.219873  o
 27.7544  0.219816  o
 27.871  0.219758  o
 27.9877  0.219701  o
 28.1044  0.219643  o
 28.2211  0.190528  o
 28.3377  0.190471  o
 28.4544  0.190413  o
 28.5711  0.161298  o
 28.6877  0.161241  o
 28.8044  0.161183  o
 28.921  0.161126  o
 29.0377  0.161068  o
 29.1544  0.161011  o
 29.271  0.160953  o
 29.3877  0.160896  o
 29.5043  0.160838  o
 29.621  0.160781  o
 29.7377  0.160723  o
 29.8543  0.160666  o
 29.971  0.160608  o
 30.0876  0.160551  o
 30.2043  0.160493  o
 30.3209  0.160436  o
 30.4376  0.160378  o
 30.5543  0.160321  o
 30.6709  0.160263  o
 30.7876  0.160206  o
 30.9042  0.160148  o
 31.0209  0.16009  o
 31.1375  0.160033  o
 31.225  0.15999  o

