
# Curve 0 of 1, 171 points
# Curve title: "Exp."
# x y type
 3.31297  7.58339  i
 3.30401  7.08941  i
 3.29462  6.87633  i
 3.33148  8.19358  i
 3.33175  8.01924  i
 3.33201  7.84489  i
 3.33282  7.32186  i
 3.33371  6.74071  i
 3.33398  6.56637  i
 3.33461  6.15956  i
 3.33488  5.98522  i
 3.36426  5.83992  i
 3.35527  5.36532  i
 3.42344  5.2878  i
 3.42416  4.82288  i
 3.4244  4.66306  i
 3.4927  4.50321  i
 3.71661  4.2997  i
 3.83345  4.18341  i
 3.92107  4.0962  i
 4.24231  3.82  i
 4.35905  3.76182  i
 4.47585  3.67459  i
 4.82611  3.48555  i
 4.94279  3.47096  i
 5.05954  3.41279  i
 5.14705  3.39822  i
 5.52633  3.31086  i
 5.64305  3.26721  i
 5.75973  3.25263  i
 5.84722  3.25258  i
 6.22645  3.19428  i
 6.34311  3.19423  i
 6.45977  3.19417  i
 6.57642  3.19411  i
 6.98473  3.19391  i
 7.10138  3.19385  i
 7.21806  3.17927  i
 7.30558  3.16469  i
 7.68483  3.09186  i
 7.80151  3.07728  i
 7.91824  3.03363  i
 8.00575  3.01906  i
 8.32685  2.83003  i
 8.44367  2.72827  i
 8.53134  2.612  i
 8.79444  2.20507  i
 8.91135  2.04519  i
 9.14524  1.66733  i
 9.26199  1.60916  i
 9.37858  1.65269  i
 9.46603  1.6817  i
 9.67005  1.76877  i
 9.78693  1.62343  i
 9.8746  1.50716  i
 10.0793  1.15837  i
 10.1961  1.02755  i
 10.2836  1.04204  i
 10.4778  1.19691  i
 10.604  1.31792  i
 10.8957  1.25966  i
 11.0126  1.12885  i
 11.1003  1.01258  i
 11.4211  0.968831  i
 11.5377  1.01236  i
 11.6543  1.08495  i
 12.004  1.25912  i
 12.1206  1.27359  i
 12.2372  1.31712  i
 12.3247  1.3316  i
 12.7038  1.33142  i
 12.8205  1.28777  i
 12.9373  1.2296  i
 13.0248  1.21503  i
 13.2878  0.895268  i
 13.4047  0.749923  i
 13.4923  0.662708  i
 13.6969  0.372033  i
 13.8137  0.284803  i
 13.9305  0.183045  i
 14.018  0.168473  i
 14.3976 -0.122288  i
 14.5143 -0.151403  i
 14.6019 -0.209561  i
 14.9812 -0.311449  i
 15.0979 -0.340564  i
 15.2146 -0.35515  i
 15.3021 -0.355193  i
 15.6812 -0.35538  i
 15.7978 -0.355438  i
 15.9145 -0.355495  i
 16.002 -0.355538  i
 16.3811 -0.355725  i
 16.4978 -0.355783  i
 16.6144 -0.326783  i
 16.7019 -0.326826  i
 17.0808 -0.181726  i
 17.1683 -0.181769  i
 17.9552  0.166532  i
 18.0718  0.181003  i
 18.5382  0.340589  i
 18.6549  0.340531  i
 18.7715  0.340474  i
 19.1798  0.398387  i
 19.2964  0.39833  i
 19.4131  0.412801  i
 19.5005  0.427286  i
 19.8796  0.456157  i
 19.9963  0.470628  i
 20.1129  0.485099  o
 20.2004  0.485056  o
 20.6379  0.484841  o
 20.7545  0.484783  o
 20.8712  0.484726  o
 20.9587  0.484682  o
 21.3378  0.513553  o
 21.4544  0.513495  o
 21.5711  0.513438  o
 21.6586  0.513395  o
 22.0376  0.571323  o
 22.1543  0.571265  o
 22.2709  0.571208  o
 22.3876  0.57115  o
 22.7958  0.600006  o
 22.9125  0.614477  o
 23.0291  0.628949  o
 23.1166  0.628906  o
 23.4957  0.628719  o
 23.6124  0.628661  o
 23.7291  0.628604  o
 23.8166  0.62856  o
 24.1957  0.628374  o
 24.3123  0.628316  o
 24.429  0.628259  o
 24.5457  0.628201  o
 24.954  0.628  o
 25.0706  0.627942  o
 25.1873  0.627885  o
 25.2748  0.627842  o
 25.6539  0.627655  o
 25.7706  0.627597  o
 25.8872  0.656597  o
 25.9747  0.656554  o
 26.3538  0.685424  o
 26.4704  0.685367  o
 26.5871  0.685309  o
 26.7037  0.685252  o
 27.112  0.714108  o
 27.2286  0.743108  o
 27.3453  0.74305  o
 27.4328  0.743007  o
 27.8119  0.74282  o
 27.9285  0.77182  o
 28.0452  0.771763  o
 28.1618  0.786234  o
 28.5701  0.800561  o
 28.6867  0.800504  o
 28.8034  0.800446  o
 28.8909  0.800403  o
 29.27  0.800216  o
 29.3867  0.800159  o
 29.5034  0.800101  o
 29.5908  0.800058  o
 29.97  0.799871  o
 30.0866  0.799814  o
 30.2033  0.770699  o
 30.32  0.770641  o
 30.7283  0.77044  o
 30.845  0.770383  o
 30.9616  0.770325  o
 31.0491  0.770282  o

